Symbol,Sector,Correlation,Cap_Category
GULPOLY,NIFTY ALPHA 50,0.9534,Small Cap
HAPPSTMNDS,NIFTY IND DIGITAL,0.9133,Mid Cap
HARDWYN,NIFTY FMCG,0.8502,Small Cap
HATHWAY,NIFTY INDIA MFG,0.7586,Small Cap
HATSUN,NIFTY 100,0.9618,Large Cap
HAVELLS,NIFTY 50,0.9815,Large Cap
HBANKETF,NIFTY BANK,0.9993,Unknown
HCC,NIFTY CPSE,0.8587,Small Cap
HCG,NIFTY ALPHA 50,0.9427,Mid Cap
HDFC,NIFTY FIN SERVICE,0.9724,Unknown
HDFCBANK,NIFTY FIN SERVICE,0.977,Large Cap
HDFCLIFE,NIFTY INDIA MFG,0.8644,Large Cap
HDFCMFGETF,NIFTY FMCG,0.813,Unknown
HDFCNEXT50,NIFTY LARGEMID250,0.8743,Unknown
HDFCSENETF,NIFTY 500,0.9968,Unknown
HDFCSILVER,NIFTY HEALTHCARE,0.6977,Unknown
HEALTHY,NIFTY HEALTHCARE,0.9868,Unknown
HECPROJECT,NIFTY IT,0.7769,Micro Cap
HEMIPROP,NIFTY INDIA MFG,0.8406,Small Cap
HERCULES,NIFTY 500,0.9148,Small Cap
HESTERBIO,NIFTY FIN SERVICE,0.9438,Small Cap
HGINFRA,NIFTY INFRA,0.942,Mid Cap
HIL,NIFTY 100,0.938,Unknown
HINDALCO,NIFTY ALPHA 50,0.9662,Large Cap
HINDCOPPER,NIFTY INDIA MFG,0.9342,Large Cap
HINDMOTORS,NIFTY CPSE,0.7622,Micro Cap
HINDUNILVR,NIFTY FMCG,0.9373,Large Cap
HINDWAREAP,NIFTY COMMODITIES,0.9595,Small Cap
HINDZINC,NIFTY 500,0.9172,Large Cap
HISARMETAL,NIFTY 500,0.9139,Micro Cap
HITECH,NIFTY COMMODITIES,0.97,Small Cap
HITECHCORP,NIFTY ALPHA 50,0.9498,Micro Cap
HITECHGEAR,NIFTY LARGEMID250,0.8609,Small Cap
HLVLTD,NIFTY CPSE,0.8778,Small Cap
HMVL,NIFTY INDIA MFG,0.8305,Micro Cap
HNDFDS,NIFTY 500,0.9102,Mid Cap
HNGSNGBEES,NIFTY INDIA MFG,0.6659,Unknown
HOMEFIRST,NIFTY ENERGY,0.8557,Mid Cap
HONAUT,NIFTY FIN SERVICE,0.9426,Large Cap
HOVS,NIFTY LARGEMID250,0.7751,Unknown
HSCL,NIFTY CONSR DURBL,0.5684,Large Cap
HUHTAMAKI,NIFTY HEALTHCARE,0.7459,Small Cap
IBREALEST,NIFTY IND DIGITAL,0.7617,Unknown
ICICI500,NIFTY 500,0.9986,Unknown
ICICIAUTO,NIFTY AUTO,0.9991,Unknown
ICICIB22,NIFTY CPSE,0.9794,Unknown
ICICIBANK,NIFTY 50,0.9693,Large Cap
ICICIBANKN,NIFTY BANK,0.9996,Unknown
ICICIBANKP,NIFTY BANK,0.9821,Unknown
ICICICONSU,NIFTY CONSUMPTION,0.9955,Unknown
ICICIGOLD,NIFTY FMCG,0.8043,Unknown
ICICILOVOL,NIFTY 50,0.9925,Unknown
ICICIMOM30,NIFTY LARGEMID250,0.937,Unknown
ICICINF100,NIFTY 500,0.9964,Unknown
ICICINIFTY,NIFTY 500,0.9987,Unknown
ICICIPHARM,NIFTY HEALTHCARE,0.9905,Unknown
ICICISILVE,NIFTY IT,0.8444,Unknown
ICICITECH,NIFTY IT,0.9989,Unknown
IDBI,NIFTY LARGEMID250,0.9134,Large Cap
IDBIGOLD,NIFTY FMCG,0.8271,Unknown
IDFCFIRSTB,NIFTY 500,0.5974,Large Cap
IEX,NIFTY ALPHA 50,0.9509,Mid Cap
IFBAGRO,NIFTY LARGEMID250,0.9536,Small Cap
IFBIND,NIFTY LARGEMID250,0.9407,Mid Cap
IFCI,NIFTY ALPHA 50,0.8609,Mid Cap
IGARASHI,NIFTY ALPHA 50,0.7841,Small Cap
IGL,NIFTY FIN SERVICE,0.8582,Large Cap
IIFL,NIFTY 500,0.9195,Large Cap
IIFLWAM,NIFTY CPSE,0.9079,Unknown
IMPAL,NIFTY 500,0.9058,Small Cap
IMPEXFERRO,NIFTY INFRA,0.6769,Micro Cap
INCREDIBLE,NIFTY INDIA MFG,0.8111,Micro Cap
INDBANK,NIFTY ALPHA 50,0.9224,Micro Cap
INDIACEM,NIFTY ALPHA 50,0.9149,Mid Cap
INDIANB,NIFTY CPSE,0.8019,Large Cap
INDIGO,NIFTY FIN SERVICE,0.9101,Large Cap
INDOAMIN,NIFTY INFRA,0.878,Small Cap
INDOBORAX,NIFTY COMMODITIES,0.9131,Small Cap
INDORAMA,NIFTY ALPHA 50,0.9022,Small Cap
INDOTECH,NIFTY ALPHA 50,0.8455,Small Cap
INDRAMEDCO,NIFTY ALPHA 50,0.8334,Small Cap
