date,day_high,day_low,day_open,day_close,day_start,prev_high,prev_low,prev_close,opening_position
2020-05-07,9277.3,9178.95,9234.05,9212.95,2020-05-07 09:15:00,9346.55,9117.35,9287.8,INSIDE
2020-05-08,9380.85,9238.35,9376.95,9249.5,2020-05-08 09:15:00,9277.3,9178.95,9212.95,ABOVE
2020-05-11,9439.5,9220.45,9348.15,9247.2,2020-05-11 09:15:00,9380.85,9238.35,9249.5,INSIDE
2020-05-12,9240.35,9044.1,9168.85,9209.65,2020-05-12 09:15:00,9439.5,9220.45,9247.2,BELOW
2020-05-13,9584.2,9351.45,9584.2,9383.25,2020-05-13 09:15:00,9240.35,9044.1,9209.65,ABOVE
2020-05-14,9280.65,9120.25,9213.95,9150.2,2020-05-14 09:15:00,9584.2,9351.45,9383.25,BELOW
2020-05-15,9182.4,9050.1,9182.4,9128.95,2020-05-15 09:15:00,9280.65,9120.25,9150.2,INSIDE
2020-05-18,9158.3,8807.5,9158.3,8830.4,2020-05-18 09:15:00,9182.4,9050.1,9128.95,INSIDE
2020-05-19,9029.9,8855.95,8961.7,8890.55,2020-05-19 09:15:00,9158.3,8807.5,8830.4,INSIDE
2020-05-20,9092.7,8877.4,8889.15,9085.15,2020-05-20 09:15:00,9029.9,8855.95,8890.55,INSIDE
2020-05-21,9177.8,9056.6,9079.45,9102.2,2020-05-21 09:15:00,9092.7,8877.4,9085.15,INSIDE
2020-05-22,9148.85,8969.2,9067.9,9051.5,2020-05-22 09:15:00,9177.8,9056.6,9102.2,INSIDE
2020-05-26,9160.85,8997.0,9099.75,9046.1,2020-05-26 09:15:00,9148.85,8969.2,9051.5,INSIDE
2020-05-27,9333.35,9004.7,9082.2,9317.4,2020-05-27 09:15:00,9160.85,8997.0,9046.1,INSIDE
2020-05-28,9509.5,9338.95,9364.95,9488.0,2020-05-28 09:15:00,9333.35,9004.7,9317.4,ABOVE
2020-05-29,9597.75,9377.9,9422.2,9568.45,2020-05-29 09:15:00,9509.5,9338.95,9488.0,INSIDE
2020-06-01,9930.8,9712.4,9726.85,9812.2,2020-06-01 09:15:00,9597.75,9377.9,9568.45,ABOVE
2020-06-02,9995.45,9824.65,9880.85,9995.1,2020-06-02 09:15:00,9930.8,9712.4,9812.2,INSIDE
2020-06-03,10175.7,10035.85,10108.3,10068.05,2020-06-03 09:15:00,9995.45,9824.65,9995.1,ABOVE
2020-06-04,10123.65,9944.6,10054.25,10030.75,2020-06-04 09:15:00,10175.7,10035.85,10068.05,INSIDE
2020-06-05,10177.4,10041.25,10093.8,10168.2,2020-06-05 09:15:00,10123.65,9944.6,10030.75,INSIDE
2020-06-08,10327.65,10121.1,10326.75,10175.25,2020-06-08 09:15:00,10177.4,10041.25,10168.2,ABOVE
2020-06-09,10291.1,10022.65,10181.15,10026.25,2020-06-09 09:15:00,10327.65,10121.1,10175.25,INSIDE
2020-06-10,10147.65,10036.9,10072.6,10139.4,2020-06-10 09:15:00,10291.1,10022.65,10026.25,INSIDE
2020-06-11,10111.65,9886.0,10094.1,9910.15,2020-06-11 09:15:00,10147.65,10036.9,10139.4,INSIDE
2020-06-12,9995.7,9544.95,9544.95,9958.15,2020-06-12 09:15:00,10111.65,9886.0,9910.15,BELOW
2020-06-15,9942.5,9726.9,9919.35,9818.05,2020-06-15 09:15:00,9995.7,9544.95,9958.15,INSIDE
2020-06-16,10045.5,9729.0,10014.8,9900.8,2020-06-16 09:15:00,9942.5,9726.9,9818.05,ABOVE
2020-06-17,10002.9,9834.4,9876.7,9876.85,2020-06-17 09:15:00,10045.5,9729.0,9900.8,INSIDE
2020-06-18,10110.6,9850.25,9863.25,10091.25,2020-06-18 09:15:00,10002.9,9834.4,9876.85,INSIDE
2020-06-19,10272.1,10073.05,10119.0,10254.05,2020-06-19 09:15:00,10110.6,9850.25,10091.25,ABOVE
2020-06-22,10393.35,10277.95,10318.75,10324.7,2020-06-22 09:15:00,10272.1,10073.05,10254.05,ABOVE
2020-06-23,10484.2,10302.25,10347.95,10482.75,2020-06-23 09:15:00,10393.35,10277.95,10324.7,INSIDE
2020-06-24,10552.75,10282.2,10529.25,10320.05,2020-06-24 09:15:00,10484.2,10302.25,10482.75,ABOVE
2020-06-25,10361.15,10195.6,10235.55,10284.35,2020-06-25 09:15:00,10552.75,10282.2,10320.05,BELOW
2020-06-26,10409.3,10312.4,10378.9,10400.85,2020-06-26 09:15:00,10361.15,10195.6,10284.35,ABOVE
2020-06-29,10337.25,10223.95,10311.95,10315.1,2020-06-29 09:15:00,10409.3,10312.4,10400.85,BELOW
2020-06-30,10400.7,10267.75,10382.6,10307.35,2020-06-30 09:15:00,10337.25,10223.95,10315.1,ABOVE
2020-07-01,10446.65,10299.8,10323.8,10419.45,2020-07-01 09:15:00,10400.7,10267.75,10307.35,INSIDE
2020-07-02,10597.25,10490.1,10493.05,10563.6,2020-07-02 09:15:00,10446.65,10299.8,10419.45,ABOVE
2020-07-03,10630.8,10563.05,10614.95,10602.7,2020-07-03 09:15:00,10597.25,10490.1,10563.6,ABOVE
